AU06_r,sigmas,pis,as,bs
0.2326089179343916,[[0.01867424]],0.06875009913696853,[2.],[6.59812262]
0.020160564140712687,[[0.00030736]],0.06937735036957597,[2.],[97.20357318]
0.3015763048879052,[[0.02090827]],0.021159043323589807,[2.73647664],[6.33743466]
0.3528348060675631,[[0.02100025]],0.008601766247812883,[3.48365106],[6.38966926]
0.293185348185376,[[0.02088886]],0.024269334438992783,[2.61535695],[6.30513299]
0.1572966201687179,[[0.00984218]],0.2166113689775234,[2.],[10.71483137]
0.0010767790902137756,[[0.00010017]],0.32280958407569005,[2.],[1855.39119396]
0.25014975812103935,[[0.02088147]],0.03839039801946302,[2.],[5.99521061]
0.1557699097108804,[[0.00968393]],0.21906501583279306,[2.],[10.83945021]
0.3363525677886301,[[0.02106806]],0.010966039577590344,[3.22735731],[6.3678045]
