AU12_r,sigmas,pis,as,bs
0.1454344471390789,[[0.00850935]],0.0918628995493223,[2.],[11.75190018]
0.3167432586909503,[[0.02967123]],0.005025623049859354,[2.],[4.31426225]
0.4551295639152198,[[0.02559998]],0.012595992401873262,[3.95370394],[4.7332816]
0.17575367637409567,[[0.01178573]],0.22515367166540484,[2.],[9.37956281]
0.5744898591673475,[[0.01062797]],0.030529008421453632,[12.63920492],[9.36154012]
0.3788540514524459,[[0.03238728]],0.004929208181282512,[2.37387219],[3.89205577]
0.1314027959826022,[[0.00712664]],0.06804872475401122,[2.],[13.22037629]
0.24984464225708863,[[0.02092136]],0.037640911866922,[2.],[6.00497454]
0.20881020547911133,[[0.015713]],0.049683968365161556,[2.],[7.57807592]
0.016154703243508824,[[0.00022713]],0.05022509125929976,[2.],[121.80295508]
0.08021712836243544,[[0.00296037]],0.04384180762784453,[2.],[22.93233105]
0.2727548100494846,[[0.0239131]],0.026954541940526724,[2.],[5.33259296]
0.0010915516026317477,[[0.0001002]],0.25254391416375754,[2.],[1830.25419227]
0.17679971989603063,[[0.01190495]],0.1009646367532808,[2.],[9.31223512]
